gene	tot_nsample
ALB	104
ALCAM	67
ALDH16A1	56
ALDH18A1	63
ALDH1A1	53
ALDH1A1_ENST00000428593	28
ALDH1A2	64
ALDH1A3	60
ALDH1B1	49
ALDH1L1	116
ALDH1L1_ENST00000455064	4
ALDH1L2	69
ALDH2	42
ALDH2_ENST00000261733	36
ALDH3A1	36
ALDH3A2	39
ALDH3B2	46
ALDH4A1	39
ALDH4A1_ENST00000375341	35
ALDH5A1	41
ALDH6A1	36
ALDH7A1	30
ALDH7A1_ENST00000447989	20
ALDH8A1	67
ALDH9A1	37
ALDH9A1_ENST00000354775	31
ALDOA	28
ALDOB	60
ALDOC	23
ALG1	34
ALG10	51
ALG10B	55
ALG11	36
ALG12	29
ALG13	43
ALG13_ENST00000251943	70
ALG13_ENST00000394780	111
ALG14	13
ALG1L	11
ALG2	37
ALG3	23
ALG3_ENST00000445626	21
ALG5	27
ALG6	33
ALG8	52
ALG9	34
ALG9_ENST00000428306	44
ALK	473
ALKBH1	23
ALKBH2	16
ALKBH3	27
ALKBH4	21
ALKBH5	24
ALKBH6	15
ALKBH7	14
ALKBH8	18
ALKBH8_ENST00000417449	34
ALKBH8_ENST00000428149	39
ALLC	58
ALMS1	342
ALOX12	41
ALOX12B	53
ALOX12P2	1
ALOX15	53
ALOX15_ENST00000545513	7
ALOX15B	63
ALOX5	84
ALOX5AP	11
ALOXE3	79
ALOXE3_ENST00000318227	56
ALPI	57
ALPK1	119
ALPK2	176
ALPK2_ENST00000361673	263
ALPK3	159
ALPK3_ENST00000258888	112
ALPL	44
ALPP	54
ALPPL2	36
ALS2	145
ALS2_ENST00000467448	23
ALS2CL	74
ALS2CR11	65
ALS2CR11_ENST00000439140	80
ALS2CR11_ENST00000450242	32
ALS2CR12	53
ALS2CR8	55
ALX1	61
ALX3	15
ALX4	57
AMAC1	75
AMAC1L2	53
AMACR	35
AMACR_ENST00000441713	2
AMBN	65
AMBP	32
AMBRA1	99
AMBRA1_ENST00000458649	98
AMD1	20
AMDHD1	55
AMDHD2	32
AMELX	28
AMELY	8
AMFR	39
AMH	10
AMHR2	55
AMICA1	36
AMICA1_ENST00000356289	7
AMIGO1	25
AMIGO2	41
AMIGO3	44
AMMECR1	17
AMMECR1L	20
AMN	12
AMN1	15
AMOT	76
AMOT_ENST00000371959	107
AMOTL1	94
AMOTL2	50
AMPD1	109
AMPD1_ENST00000520113	79
AMPD2	6
AMPD2_ENST00000393689	65
AMPD3	58
AMPH	138
AMT	20
AMTN	26
AMY1A	2
AMY1B	2
AMY1C	10
AMY2A	35
AMY2B	79
AMZ1	36
AMZ2	14
ANAPC1	107
ANAPC10	12
ANAPC11	1
ANAPC13	5
ANAPC16	8
ANAPC2	53
ANAPC4	50
ANAPC5	57
ANAPC7	37
ANAPC7_ENST00000455511	21
ANG	8
ANGEL1	60
ANGEL2	44
ANGPT1	84
ANGPT2	60
ANGPT2_ENST00000325203	60
ANGPT4	69
ANGPTL1	45
ANGPTL2	45
ANGPTL3	38
ANGPTL4	21
ANGPTL5	49
ANGPTL6	31
ANGPTL7	22
ANHX	2
ANK1	260
ANK1_ENST00000265709	189
ANK1_ENST00000314214	12
ANK2	541
ANK3	412
ANK3_ENST00000355288	83
ANK3_ENST00000395293	83
ANKAR	91
ANKAR_ENST00000520309	77
ANKDD1A	48
ANKFN1	98
ANKFY1	79
ANKH	57
ANKHD1	338
ANKHD1_ENST00000261805	42
ANKHD1_ENST00000394723	20
ANKIB1	92
ANKK1	83
ANKLE1	26
ANKLE2	75
ANKMY1	67
ANKMY1_ENST00000361678	40
ANKMY2	39
ANKRA2	22
ANKRD1	49
ANKRD10	21
ANKRD11	187
ANKRD12	158
ANKRD13A	37
ANKRD13B	39
ANKRD13C	36
ANKRD13D	36
ANKRD13D_ENST00000511455	31
ANKRD16	31
ANKRD17	208
ANKRD18A	50
ANKRD18A_ENST00000313339	1
ANKRD18B	38
ANKRD18B_ENST00000357927	10
ANKRD2	24
ANKRD20A1	14
ANKRD20A2	9
ANKRD20A4	37
ANKRD20A5P	3
ANKRD22	19
ANKRD23	24
ANKRD24	46
ANKRD24_ENST00000262970	55
ANKRD24_ENST00000318934	61
ANKRD26	163
ANKRD26_ENST00000376070	12
ANKRD27	82
ANKRD28	39
ANKRD28_ENST00000383777	79
ANKRD29	19
ANKRD30A	351
ANKRD30A_ENST00000602533	58
ANKRD30B	69
ANKRD30B_ENST00000358984	151
ANKRD30BL	18
ANKRD30BL_ENST00000409867	18
ANKRD31	21
ANKRD31_ENST00000274361	53
ANKRD32	41
ANKRD32_ENST00000265140	74
ANKRD33	28
ANKRD34A	53
ANKRD34B	56
ANKRD34C	30
ANKRD35	92
ANKRD36	66
ANKRD36_ENST00000420699	93
ANKRD36BP1	3
ANKRD36BP1_ENST00000358576	3
ANKRD36C	54
ANKRD36C_ENST00000295246	18
ANKRD36C_ENST00000420871	54
ANKRD37	9
ANKRD39	15
ANKRD40	33
ANKRD42	39
ANKRD43	10
ANKRD44	97
ANKRD44_ENST00000282272	33
ANKRD44_ENST00000409153	38
ANKRD44_ENST00000409919	19
ANKRD44_ENST00000424317	65
ANKRD45	32
ANKRD46	12
ANKRD49	23
ANKRD5	77
ANKRD50	137
ANKRD52	83
ANKRD53	22
ANKRD53_ENST00000360589	27
ANKRD54	9
ANKRD55	64
ANKRD56	40
ANKRD57	25
ANKRD58	9
ANKRD6	52
ANKRD60	10
ANKRD62	12
ANKRD65	4
ANKRD7	43
ANKRD9	10
ANKS1A	80
ANKS1A_ENST00000373990	34
ANKS1B	146
ANKS1B_ENST00000549493	34
ANKS3	40
ANKS4B	41
ANKS6	62
ANKUB1	27
ANKZF1	47
ANLN	95
ANO1	76
ANO1_ENST00000355303	76
ANO10	68
ANO2	153
ANO2_ENST00000327087	113
ANO2_ENST00000546188	20
ANO3	129
ANO4	169
ANO5	154
ANO6	83
ANO6_ENST00000425752	68
ANO7	113
ANO7_ENST00000402430	22
ANO8	67
ANO9	53
ANP32A	15
ANP32B	16
ANP32C	56
ANP32D	14
ANP32E	25
ANPEP	116
ANTXR1	65
ANTXR1_ENST00000409349	16
ANTXR1_ENST00000409829	34
ANTXR2	42
ANTXR2_ENST00000295465	3
ANTXR2_ENST00000403729	45
ANTXRL	7
ANUBL1	48
ANXA1	23
ANXA1_ENST00000456643	3
ANXA10	35
ANXA11	27
ANXA13	37
ANXA2	26
ANXA3	32
ANXA4	28
ANXA5	26
ANXA6	47
ANXA6_ENST00000354546	51
ANXA7	45
ANXA8	3
ANXA8L1	3
ANXA8L2	8
ANXA9	23
AOAH	68
AOC2	56
AOC3	88
AOF2	35
AOX1	138
AP000867	6
AP001011	233
AP002414	6
AP005901_2	4
AP1AR	23
AP1B1	73
AP1G1	83
AP1G2	77
AP1M1	45
AP1M2	34
AP1S1	21
AP1S2	9
AP1S3	10
AP2A1	64
AP2A1_ENST00000359032	54
AP2A2	52
AP2B1	65
AP2M1	29
AP2S1	10
AP3B1	88
AP3B2	101
AP3D1	82
AP3M1	27
AP3M2	38
AP3S1	21
AP3S2	13
AP4B1	70
AP4E1	71
AP4M1	41
AP4S1	12
AP4S1_ENST00000542754	13
AP5B1	19
AP5B1_ENST00000532090	19
APAF1	106
APBA1	88
APBA2	127
APBA3	26
APBB1	69
APBB1IP	108
APBB2	57
APBB3	32
APC	3924
APC2	47
APCDD1	54
APCDD1L	50
APCS	41
APEH	40
APEX1	23
APEX2	46
APH1A	21
APH1B	25
API5	48
API5_ENST00000531273	42
APIP	19
APIP_ENST00000278359	3
APITD1	20
APITD1_ENST00000309048	12
APLF	56
APLN	2
APLNR	56
APLP1	75
APLP2	68
APMAP	2
APOA1	18
APOA1BP	14
APOA2	12
APOA4	50
APOA5	36
APOB	709
APOBEC1	43
APOBEC2	28
APOBEC3A	17
APOBEC3B	29
APOBEC3C	23
APOBEC3D	21
APOBEC3D_ENST00000381568	40
APOBEC3F	29
APOBEC3F_ENST00000381565	3
APOBEC3G	33
APOBEC3G_ENST00000407997	32
APOBEC3H	27
APOBEC4	44
APOBR	84
APOC1	7
APOC2	7
APOC3	8
APOC4	6
APOD	27
APOE	13
APOF	13
APOH	39
APOL1	33
APOL2	20
APOL3	24
APOL3_ENST00000349314	26
APOL4	11
APOL4_ENST00000328429	1
APOL4_ENST00000352371	25
APOL5	44
APOL6	23
APOLD1	9
APOM	10
APOM_ENST00000375918	1
APOO	12
APOOL	16
APP	83
APPBP2	43
APPL1	57
APPL2	62
APRT	9
APRT_ENST00000378364	9
APRT_ENST00000426324	7
APTX	23
APTX_ENST00000379813	24
AQP1	21
AQP1_ENST00000441328	13
AQP10	41
AQP11	14
AQP12A	31
AQP12B	34
AQP2	29
AQP3	19
AQP4	27
AQP5	17
AQP6	18
AQP7	50
AQP8	40
AQP8_ENST00000219660	39
AQP9	34
AQR	133
AR	144
AR_ENST00000544984	93
ARAF	61
ARAP1	78
ARAP1_ENST00000393609	85
ARAP2	186
ARAP3	131
ARC	35
ARCN1	29
AREG	6
AREGB	1
ARF1	23
ARF3	10
ARF4	14
ARF5	18
ARF6	8
ARFGAP1	27
ARFGAP1_ENST00000370275	7
ARFGAP2	42
ARFGAP3	40
ARFGEF1	189
ARFGEF2	153
ARFIP1	31
ARFIP1_ENST00000451320	28
ARFIP2	19
ARFRP1	15
ARG1	32
ARG2	20
ARGFX	33
ARGLU1	17
ARHGAP1	26
ARHGAP10	89
ARHGAP11A	86
ARHGAP11B	14
ARHGAP12	80
ARHGAP15	96
ARHGAP17	62
ARHGAP17_ENST00000289968	68
ARHGAP18	47
ARHGAP19	28
ARHGAP19_ENST00000358531	43
ARHGAP20	146
ARHGAP21	175
ARHGAP22	67
ARHGAP22_ENST00000417912	6
ARHGAP23	46
ARHGAP24	51
ARHGAP24_ENST00000395184	56
ARHGAP25	88
ARHGAP25_ENST00000409202	60
ARHGAP25_ENST00000544262	7
ARHGAP26	50
ARHGAP27	39
ARHGAP28	78
ARHGAP28_ENST00000400091	87
ARHGAP29	119
ARHGAP30	98
ARHGAP31	174
ARHGAP32	142
ARHGAP32_ENST00000310343	162
ARHGAP33	95
ARHGAP33_ENST00000221905	2
ARHGAP36	129
ARHGAP36_ENST00000276211	29
ARHGAP39	80
ARHGAP4	52
ARHGAP4_ENST00000370028	43
ARHGAP40	18
ARHGAP40_ENST00000373345	33
ARHGAP42	30
ARHGAP44	54
ARHGAP5	162
ARHGAP6	103
ARHGAP6_ENST00000380732	18
ARHGAP8	43
ARHGAP9	74
ARHGDIA	11
ARHGDIB	32
ARHGDIG	12
ARHGEF1	90
ARHGEF10	112
ARHGEF10_ENST00000398560	1
ARHGEF10_ENST00000398564	135
ARHGEF10L	94
ARHGEF10L_ENST00000361221	87
ARHGEF10L_ENST00000375408	6
ARHGEF11	155
ARHGEF12	122
ARHGEF15	91
ARHGEF16	23
ARHGEF16_ENST00000378378	36
ARHGEF16_ENST00000413250	21
ARHGEF17	109
ARHGEF18	61
ARHGEF18_ENST00000359920	55
ARHGEF19	44
ARHGEF2	72
ARHGEF25	67
ARHGEF25_ENST00000333972	41
ARHGEF26	71
ARHGEF26_ENST00000356448	76
ARHGEF26_ENST00000465817	1
ARHGEF3	44
ARHGEF3_ENST00000296315	34
